studyArea,simObject,gcm,ssp,runID,gid
AOU,simOutPreamble,CCSM4,45,,1qQZnwqtcZMYJ43MYN8QZBxtd0tHHBbha
AOU,simOutPreamble,CCSM4,85,,1InmRgjKLZip36AzUy6XzRufdt2mk1nwA
AOU,biomassMaps2001,CCSM4,,,1eAYoAKDOBkYvdIF5Txwy8FyBlmpL9s19
AOU,biomassMaps2001,CCSM4,,,1eAYoAKDOBkYvdIF5Txwy8FyBlmpL9s19
AOU,biomassMaps2011,CCSM4,,,1UlOm5zx7wWvRvLIUoCoC4HQg188WwKHv
AOU,biomassMaps2011,CCSM4,,,1UlOm5zx7wWvRvLIUoCoC4HQg188WwKHv
AOU,fSsimDataPrep,CCSM4,,,1t_4fap26_W9cRXbXaWzX22LUMBOvaySE
AOU,fSsimDataPrep,CCSM4,,,1zB0c__IYQiQfUguXaYkkC0Hzp1wRVSHh
AOU,ignitionOut,CCSM4,,,1_NtOc8lG5GMIftWXsxPdeW_pu9Z7EZGa
AOU,ignitionOut,CCSM4,,,1_NtOc8lG5GMIftWXsxPdeW_pu9Z7EZGa
AOU,escapeOut,CCSM4,,,1zinlswysrTcQ1OZxBsfR-S5-kpMbDC8J
AOU,escapeOut,CCSM4,,,1zinlswysrTcQ1OZxBsfR-S5-kpMbDC8J
AOU,spreadOut,CCSM4,,1,1-NuFcAcnG0G5SEEH5LlX0moh5h6EYcAs
AOU,spreadOut,CCSM4,,1,1-NuFcAcnG0G5SEEH5LlX0moh5h6EYcAs
AOU,results,CCSM4,45,,1DWOgy-XxZO9pmgfRXEzHJPX7jU4x3Vki
AOU,results,CCSM4,85,,1DWOgy-XxZO9pmgfRXEzHJPX7jU4x3Vki
ROF,simOutPreamble,CCSM4,45,,1LIZEM4Jyga0CjNG-Z_1ql2rj11or54Tg
ROF,simOutPreamble,CCSM4,85,,11oTUX0R1i65uIjuI1PmYYd3ibjVu0cyP
ROF,simOutPreamble,CNRM-ESM2-1,245,,1uAMM6RSobp55nn2F6CQB2fAo_QkXq6PJ
ROF,simOutPreamble,CNRM-ESM2-1,245,,1uAMM6RSobp55nn2F6CQB2fAo_QkXq6PJ
ROF,simOutPreamble,CNRM-ESM2-1,370,,1TSuzG8ZKqGFe7NTDMWq2Se81KtGsZySr
ROF,simOutPreamble,CNRM-ESM2-1,370,,1TSuzG8ZKqGFe7NTDMWq2Se81KtGsZySr
ROF,simOutPreamble,CNRM-ESM2-1,585,,1rF5rwuMbQSGVAtrD-9FyeO5Y4d_M5PcW
ROF,simOutPreamble,CNRM-ESM2-1,585,,1rF5rwuMbQSGVAtrD-9FyeO5Y4d_M5PcW
ROF,simOutPreamble,CanESM5,370,,1dNLEVMJErDztCN0Iy17J2H6G_JE4DMDC
ROF,biomassMaps2001,"",,,1299ngPCZX1Kd57GO7nbz-Ah_ttB81kCF
ROF,biomassMaps2001,"",,,1299ngPCZX1Kd57GO7nbz-Ah_ttB81kCF
ROF,biomassMaps2001,"",,,1299ngPCZX1Kd57GO7nbz-Ah_ttB81kCF
ROF,biomassMaps2001,CCSM4,,,1o0_Y8_2Eqq8-hznhVyA72z1wd47enK0f
ROF,biomassMaps2001,CCSM4,,,1o0_Y8_2Eqq8-hznhVyA72z1wd47enK0f
ROF,biomassMaps2011,"",,,1BA4WOTxlGbnx8FZvB1btKKcpApm3iEhG
ROF,biomassMaps2011,"",,,1BA4WOTxlGbnx8FZvB1btKKcpApm3iEhG
ROF,biomassMaps2011,"",,,1BA4WOTxlGbnx8FZvB1btKKcpApm3iEhG
ROF,biomassMaps2011,CCSM4,,,135tLgXpKzp-UA274A3KvXPg1M9BviACY
ROF,biomassMaps2011,CCSM4,,,135tLgXpKzp-UA274A3KvXPg1M9BviACY
ROF,fSsimDataPrep,"",,,1LpXVkNn8Zvdo6TIQEu6zkeFWi_26ZTNO
ROF,fSsimDataPrep,"",,,1LpXVkNn8Zvdo6TIQEu6zkeFWi_26ZTNO
ROF,fSsimDataPrep,"",,,1LpXVkNn8Zvdo6TIQEu6zkeFWi_26ZTNO
ROF,fSsimDataPrep,CCSM4,,,179z3eiBexZZraVkpSXfp-K0VjZzuNwSW
ROF,fSsimDataPrep,CCSM4,,,1t623sGLj61PwUK2LPUpxpOyK64dMTdCn
ROF,ignitionOut,"",,,1AbWVAZVvwIm-L--qx__EnNswHMT6CJTO
ROF,ignitionOut,"",,,1AbWVAZVvwIm-L--qx__EnNswHMT6CJTO
ROF,ignitionOut,"",,,1AbWVAZVvwIm-L--qx__EnNswHMT6CJTO
ROF,ignitionOut,CCSM4,,,1AbWVAZVvwIm-L--qx__EnNswHMT6CJTO
ROF,ignitionOut,CCSM4,,,1AbWVAZVvwIm-L--qx__EnNswHMT6CJTO
